file,filesize,DATE-OBS,UT-STR,EXPTIME,UT-END,DATA-TYP,OBJECT,FILTER,POL-AGL1,PA,INSROT,IMGROT,WAVEPLAT,SHUTTER,AIRMASS,ZD,ALTITUDE,AZIMUTH,DITH_NUM,DITH_NTH,DITH_RAD,NAXIS1,NAXIS2,BIN-FCT1,BIN-FCT2,RA2000,DEC2000,DOM-HUM,DOM-TMP,OUT-HUM,OUT-TMP,OUT-WND,WEATHER,NICTMP1,NICTMP2,NICTMP3,NICTMP4,NICTMP5,NICHEAT,DET-ID,OERAY
Flat_dome_20200603_NHAO_NIC/reduced/h_20200603_0001_FLAT_2.0_00.0_-000_e.fits,146880,2020-06-03,05:34:54.842,2,05:34:58.990,OBJECT,FLAT,H,0.0,-32.6,-0.0,103.812,in,pol,1.711,54.29999,35.70001,-39.99977,0,0,0,151,441,1,1,09:29:12.073,-09:48:39.36,36.0,22.4,67.0,22.4,0.8,,78.44,74.15,73.79,76.4,55.53,0,2,e
Flat_dome_20200603_NHAO_NIC/reduced/h_20200603_0001_FLAT_2.0_00.0_-000_o.fits,146880,2020-06-03,05:34:54.842,2,05:34:58.990,OBJECT,FLAT,H,0.0,-32.6,-0.0,103.812,in,pol,1.711,54.29999,35.70001,-39.99977,0,0,0,151,441,1,1,09:29:12.073,-09:48:39.36,36.0,22.4,67.0,22.4,0.8,,78.44,74.15,73.79,76.4,55.53,0,2,o
Flat_dome_20200603_NHAO_NIC/reduced/h_20200603_0002_FLAT_2.0_45.0_-000_e.fits,146880,2020-06-03,05:35:08.351,2,05:35:12.518,OBJECT,FLAT,H,45.0,-32.6,-0.0,103.812,in,pol,1.711,54.3,35.7,-39.99981,0,0,0,151,441,1,1,09:29:26.616,-09:48:39.07,36.0,22.5,66.0,22.4,0.8,,78.44,74.13,73.75,76.41,55.5,0,2,e
Flat_dome_20200603_NHAO_NIC/reduced/h_20200603_0002_FLAT_2.0_45.0_-000_o.fits,146880,2020-06-03,05:35:08.351,2,05:35:12.518,OBJECT,FLAT,H,45.0,-32.6,-0.0,103.812,in,pol,1.711,54.3,35.7,-39.99981,0,0,0,151,441,1,1,09:29:26.616,-09:48:39.07,36.0,22.5,66.0,22.4,0.8,,78.44,74.13,73.75,76.41,55.5,0,2,o
Flat_dome_20200603_NHAO_NIC/reduced/h_20200603_0003_FLAT_2.0_22.5_-000_e.fits,146880,2020-06-03,05:35:21.912,2,05:35:26.152,OBJECT,FLAT,H,22.5,-32.6,-0.0,103.812,in,pol,1.711,54.29999,35.70001,-39.99983,0,0,0,151,441,1,1,09:29:40.150,-09:48:38.76,36.0,22.5,66.0,22.4,0.8,,78.45,74.15,73.76,76.43,55.53,0,2,e
Flat_dome_20200603_NHAO_NIC/reduced/h_20200603_0003_FLAT_2.0_22.5_-000_o.fits,146880,2020-06-03,05:35:21.912,2,05:35:26.152,OBJECT,FLAT,H,22.5,-32.6,-0.0,103.812,in,pol,1.711,54.29999,35.70001,-39.99983,0,0,0,151,441,1,1,09:29:40.150,-09:48:38.76,36.0,22.5,66.0,22.4,0.8,,78.45,74.15,73.76,76.43,55.53,0,2,o
Flat_dome_20200603_NHAO_NIC/reduced/h_20200603_0004_FLAT_2.0_67.5_+000_e.fits,146880,2020-06-03,05:35:35.492,2,05:35:39.687,OBJECT,FLAT,H,67.5,-32.6,0.0,103.812,in,pol,1.711,54.29999,35.70001,-39.9998,0,0,0,151,441,1,1,09:29:53.176,-09:48:38.58,36.0,22.5,66.0,22.4,0.8,,78.41,74.11,73.75,76.41,55.47,0,2,e
Flat_dome_20200603_NHAO_NIC/reduced/h_20200603_0004_FLAT_2.0_67.5_+000_o.fits,146880,2020-06-03,05:35:35.492,2,05:35:39.687,OBJECT,FLAT,H,67.5,-32.6,0.0,103.812,in,pol,1.711,54.29999,35.70001,-39.9998,0,0,0,151,441,1,1,09:29:53.176,-09:48:38.58,36.0,22.5,66.0,22.4,0.8,,78.41,74.11,73.75,76.41,55.47,0,2,o
Flat_dome_20200603_NHAO_NIC/reduced/h_20200603_0005_FLAT_2.0_00.0_-000_e.fits,146880,2020-06-03,05:35:54.216,2,05:35:58.352,OBJECT,FLAT,H,0.0,-32.6,-0.0,103.812,in,pol,1.711,54.29999,35.70001,-39.99982,0,0,0,151,441,1,1,09:30:11.723,-09:48:38.22,36.0,22.5,66.0,22.4,0.7,,78.43,74.07,73.72,76.42,55.57,0,2,e
Flat_dome_20200603_NHAO_NIC/reduced/h_20200603_0005_FLAT_2.0_00.0_-000_o.fits,146880,2020-06-03,05:35:54.216,2,05:35:58.352,OBJECT,FLAT,H,0.0,-32.6,-0.0,103.812,in,pol,1.711,54.29999,35.70001,-39.99982,0,0,0,151,441,1,1,09:30:11.723,-09:48:38.22,36.0,22.5,66.0,22.4,0.7,,78.43,74.07,73.72,76.42,55.57,0,2,o
Flat_dome_20200603_NHAO_NIC/reduced/h_20200603_0006_FLAT_2.0_45.0_-000_e.fits,146880,2020-06-03,05:36:08.888,2,05:36:13.63,OBJECT,FLAT,H,45.0,-32.6,-0.0,103.812,in,pol,1.711,54.30002,35.69998,-39.99982,0,0,0,151,441,1,1,09:30:26.763,-09:48:38.04,36.0,22.5,67.0,22.4,0.7,,78.44,74.14,73.76,76.39,55.54,0,2,e
Flat_dome_20200603_NHAO_NIC/reduced/h_20200603_0006_FLAT_2.0_45.0_-000_o.fits,146880,2020-06-03,05:36:08.888,2,05:36:13.63,OBJECT,FLAT,H,45.0,-32.6,-0.0,103.812,in,pol,1.711,54.30002,35.69998,-39.99982,0,0,0,151,441,1,1,09:30:26.763,-09:48:38.04,36.0,22.5,67.0,22.4,0.7,,78.44,74.14,73.76,76.39,55.54,0,2,o
